predictor,cutoff_name,cutoff_value,valid_n,unique_n,estimation_scope
breadth_net_ratio,p05,-0.6908103392432673,3798,3776,full_sample_exploratory
breadth_net_ratio,p20,-0.37108239221010614,3798,3776,full_sample_exploratory
breadth_net_ratio,p40,-0.11694840406026408,3798,3776,full_sample_exploratory
breadth_net_ratio,p60,0.08692479085031925,3798,3776,full_sample_exploratory
breadth_net_ratio,p80,0.31098654460623365,3798,3776,full_sample_exploratory
breadth_net_ratio,p95,0.5930338061674875,3798,3776,full_sample_exploratory
breadth_log_ad_ratio,p05,-1.69644764242746,3799,3784,full_sample_exploratory
breadth_log_ad_ratio,p20,-0.778668046767248,3799,3784,full_sample_exploratory
breadth_log_ad_ratio,p40,-0.2345548842604048,3799,3784,full_sample_exploratory
breadth_log_ad_ratio,p60,0.17382805418588548,3799,3784,full_sample_exploratory
breadth_log_ad_ratio,p80,0.6424772498480477,3799,3784,full_sample_exploratory
breadth_log_ad_ratio,p95,1.3634771624034572,3799,3784,full_sample_exploratory
up_count,p05,220.9,3799,1171,full_sample_exploratory
up_count,p20,424.0,3799,1171,full_sample_exploratory
up_count,p40,589.0,3799,1171,full_sample_exploratory
up_count,p60,735.0,3799,1171,full_sample_exploratory
up_count,p80,915.0,3799,1171,full_sample_exploratory
up_count,p95,1183.1999999999998,3799,1171,full_sample_exploratory
down_count,p05,275.9,3799,1201,full_sample_exploratory
down_count,p20,463.6,3799,1201,full_sample_exploratory
down_count,p40,612.0,3799,1201,full_sample_exploratory
down_count,p60,752.0,3799,1201,full_sample_exploratory
down_count,p80,950.0,3799,1201,full_sample_exploratory
down_count,p95,1280.0,3799,1201,full_sample_exploratory
up_ratio,p05,0.15459483037836633,3798,3776,full_sample_exploratory
up_ratio,p20,0.31445880389494696,3798,3776,full_sample_exploratory
up_ratio,p40,0.44152579796986796,3798,3776,full_sample_exploratory
up_ratio,p60,0.5434623954251596,3798,3776,full_sample_exploratory
up_ratio,p80,0.6554932723031168,3798,3776,full_sample_exploratory
up_ratio,p95,0.7965169030837437,3798,3776,full_sample_exploratory
down_ratio,p05,0.20348309691625624,3798,3776,full_sample_exploratory
down_ratio,p20,0.3445067276968833,3798,3776,full_sample_exploratory
down_ratio,p40,0.4565376045748404,3798,3776,full_sample_exploratory
down_ratio,p60,0.5584742020301321,3798,3776,full_sample_exploratory
down_ratio,p80,0.6855411961050532,3798,3776,full_sample_exploratory
down_ratio,p95,0.8454051696216331,3798,3776,full_sample_exploratory
